 0, 0, 0, 1711526, 280208, 97189, 83950, 60507, 83638, 18952, 6589 
 0, 0, 0, 64722, 51228, 12400, 3355, 1063, 9415, 5776, 881 
 26, 0, 0, 2513218, 122506, 27589, 66758, 22177, 112441, 50566, 6118 
 0, 0, 0, 3260, 1314, 521, 365, 214, 109, 69, 25 
 0, 43, 30, 34664, 45587, 11783, 1978, 5566, 5707, 1644, 1522 
 26, 43, 30, 782263, 105826, 91524, 97452, 29217, 28141, 17465, 5103 
 26, 43, 30, 232009, 532157, 103002, 49762, 41836, 46505, 71816, 58409 
 26, 43, 30, 496663, 51983, 34241, 32661, 15610, 23126, 22165, 747 
 0, 66, 47, 907428, 36755, 52014, 44189, 38039, 98413, 60133, 4122 
 0, 70, 60, 206334, 39195, 19115, 11614, 12069, 13039, 2572, 2068 
 26, 70, 60, 1181894, 401531, 25669, 78807, 64991, 66641, 102958, 85199 
 26, 70, 60, 786957, 984338, 90404, 222339, 192118, 219582, 74399, 136345 
 26, 70, 60, 262172, 126688, 42954, 66597, 106466, 221497, 74751, 123586 
 26, 70, 60, 793046, 391283, 156302, 39648, 84511, 62217, 28583, 50586 
 26, 70, 60, 297496, 1074226, 248007, 122081, 96137, 106391, 201026, 79388 
 26, 70, 60, 248803, 20559, 4898, 8462, 14147, 8102, 17725, 10244 
 0, 75, 83, 136665, 29018, 15661, 29813, 16191, 12199, 6016, 1308 
 26, 75, 83, 1073387, 712738, 74813, 41383, 41149, 94924, 24348, 24769 
 26, 75, 83, 96498, 19253, 4979, 4301, 3151, 3631, 1795, 4359 
 26, 75, 83, 786003, 785885, 174204, 86703, 81667, 137228, 97121, 144209 
 26, 75, 83, 422669, 28110, 71074, 53203, 43308, 149874, 153681, 131529 
 26, 75, 83, 49120, 66862, 22829, 20989, 23356, 63375, 28601, 22766 
 26, 75, 83, 1280915, 471616, 129678, 66612, 47532, 99016, 89829, 41453 
 26, 75, 83, 193303, 145550, 59063, 305517, 146976, 98771, 64999, 39310 
 26, 75, 83, 530120, 140658, 133706, 339761, 27525, 131109, 101229, 59959 
 26, 75, 83, 977895, 709403, 50294, 126735, 113836, 85796, 90658, 102742 
 26, 75, 83, 255119, 70599, 5995, 52145, 9316, 29418, 23624, 19139 
 26, 75, 83, 206198, 139078, 61105, 41254, 15113, 16654, 28811, 12649 
 26, 75, 83, 102329, 73105, 27228, 13819, 18201, 31446, 34166, 17671 
 26, 75, 83, 301280, 71708, 5853, 20048, 14364, 40950, 28254, 18703 
 26, 75, 83, 1441720, 255930, 145385, 62720, 65652, 105492, 43421, 60146 
 26, 75, 83, 865180, 340920, 19186, 42628, 92543, 192938, 80770, 103255 
 26, 75, 83, 64730, 156934, 48532, 78514, 26999, 22680, 14153, 9434 
 26, 75, 83, 789443, 663946, 29221, 108061, 42966, 57821, 83187, 37132 
 26, 75, 83, 766435, 456711, 20809, 141847, 156390, 75012, 49660, 27774 
 26, 75, 83, 274218, 57414, 33701, 10588, 13639, 21731, 18790, 8435 
 26, 75, 83, 172631, 100455, 22662, 13181, 21890, 27845, 26617, 18319 
 26, 75, 83, 109560, 185653, 63449, 113074, 54298, 29626, 10225, 20742 
 26, 75, 83, 412185, 49294, 6694, 16986, 14468, 18291, 13457, 22928 
 26, 75, 83, 1763345, 278449, 158163, 76899, 75103, 89237, 80694, 69840 
 26, 75, 83, 2095590, 225668, 81030, 42543, 217655, 108085, 100561, 51787 
 26, 75, 83, 679317, 545973, 93726, 64503, 108504, 95800, 74439, 46901 
 26, 75, 83, 175167, 140050, 51160, 12531, 20623, 23273, 25369, 12407 
 26, 75, 83, 1657716, 119699, 78608, 114376, 83882, 115389, 68031, 51370 
 26, 75, 83, 411294, 80268, 39375, 15579, 34085, 12493, 34045, 14972 
 26, 75, 83, 207609, 67974, 23588, 67354, 31283, 19816, 10923, 15244 
 26, 75, 83, 609778, 251383, 246701, 171476, 127281, 53811, 49906, 87045 
 26, 75, 83, 2286333, 297217, 305528, 250841, 168215, 236544, 36627, 76281 
 26, 75, 83, 1569587, 233630, 93707, 62505, 454199, 47965, 63644, 119610 
 26, 75, 83, 1989284, 64780, 49205, 156501, 85845, 102257, 66793, 44227 
 26, 75, 83, 70122, 44908, 6046, 7902, 5420, 28823, 22352, 12730 
 26, 75, 83, 13643, 12666, 3577, 6296, 3468, 8029, 2939, 2289 
 26, 75, 83, 530947, 31505, 31091, 16261, 29795, 18161, 13111, 28112 
 26, 75, 83, 1321375, 607988, 169644, 149506, 280381, 131727, 64946, 78865 
 26, 75, 83, 80081, 32468, 49342, 41299, 37366, 15517, 19344, 19475 
 26, 75, 83, 1163780, 213217, 67075, 135223, 27347, 79909, 64376, 20193 
 26, 75, 83, 94829, 48155, 3330, 10955, 63240, 26217, 11478, 5717 
 26, 75, 83, 615542, 66426, 15509, 18990, 15829, 17556, 12854, 15418 
 26, 75, 83, 713098, 277673, 166106, 137979, 32206, 73893, 66947, 89011 
 26, 75, 83, 1248483, 346708, 49834, 35304, 137054, 84149, 77737, 38425 
 26, 75, 83, 811063, 96504, 90194, 18201, 9855, 20826, 22667, 10578 
 26, 75, 83, 1597822, 239034, 95576, 203599, 174906, 75482, 49523, 51337 
 26, 75, 83, 187443, 19060, 16467, 20712, 6947, 15400, 19074, 10974 
 26, 75, 83, 650122, 353428, 226254, 89338, 100044, 147726, 121453, 135962 
